KIC ID,surpassed threshold,total,ratio
2969216,5,18,0.2777777778
2707758,1,18,0.05555555556
2576692,13,18,0.7222222222
3113351,1,18,0.05555555556
2860010,1,18,0.05555555556
1872084,1,18,0.05555555556
2441995,1,18,0.05555555556
3218930,1,9,0.1111111111
2442714,1,18,0.05555555556
2311069,1,7,0.1428571429
3328620,3,18,0.1666666667
2010736,1,18,0.05555555556
3338674,4,18,0.2222222222
3355625,2,15,0.1333333333
1872842,2,18,0.1111111111
2018760,1,18,0.05555555556
3352090,6,15,0.4
3122840,1,18,0.05555555556
2160161,1,15,0.06666666667
2015616,3,18,0.1666666667
1864124,2,18,0.1111111111
2441154,1,18,0.05555555556
3354536,4,15,0.2666666667
2444426,2,18,0.1111111111
2584749,1,18,0.05555555556
3337400,1,17,0.05882352941
2443055,1,5,0.2
2991603,1,18,0.05555555556
1431316,2,18,0.1111111111
3230565,2,18,0.1111111111
1996721,1,18,0.05555555556
2696892,2,18,0.1111111111
2140561,3,16,0.1875
3124511,1,18,0.05555555556
2706677,2,18,0.1111111111
2713305,1,18,0.05555555556
2865164,2,15,0.1333333333
2972293,2,18,0.1111111111
2447832,1,18,0.05555555556
2442118,1,18,0.05555555556
2011675,1,8,0.125
1867706,5,18,0.2777777778
2452725,1,1,1
2573376,6,18,0.3333333333
1868785,1,18,0.05555555556
2859567,7,18,0.3888888889
3221671,1,18,0.05555555556
2969280,1,18,0.05555555556
1293814,2,18,0.1111111111
2712016,1,18,0.05555555556
2714785,2,18,0.1111111111
3114747,1,18,0.05555555556
2452977,1,18,0.05555555556
3336111,2,18,0.1111111111
3343370,1,18,0.05555555556
2140955,2,18,0.1111111111
2452180,2,18,0.1111111111
2984382,4,17,0.2352941176
3347516,1,18,0.05555555556
3340357,1,18,0.05555555556
2142405,2,18,0.1111111111
3003224,3,15,0.2
3103190,4,18,0.2222222222
1571717,2,18,0.1111111111
2018392,1,18,0.05555555556
3327055,2,18,0.1111111111
